// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 008002103C
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter FreeAcc_E FreeAcc_N FreeAcc_U Quat_q0 Quat_q1 Quat_q2 Quat_q3
63058 0.012995 0.007731 -0.011051 0.882858 0.030404 -0.038144 0.467101
63059 0.013862 0.019797 -0.002984 0.882858 0.030405 -0.038145 0.467100
63060 0.017096 0.018269 0.001554 0.882858 0.030403 -0.038143 0.467101
63061 0.002250 0.017137 -0.005680 0.882857 0.030396 -0.038141 0.467102
63062 0.009910 0.027944 -0.019773 0.882856 0.030393 -0.038140 0.467105
63063 -0.001994 0.023019 0.007534 0.882856 0.030390 -0.038139 0.467106
63064 0.011646 0.018219 0.005408 0.882855 0.030390 -0.038139 0.467107
63065 0.007802 0.042324 0.000833 0.882856 0.030388 -0.038140 0.467106
63066 0.012669 0.012815 0.010247 0.882856 0.030382 -0.038139 0.467106
63067 0.008767 0.017245 -0.008809 0.882854 0.030374 -0.038135 0.467110
63068 0.003544 0.006555 0.008595 0.882852 0.030371 -0.038138 0.467115
63069 0.015148 0.005164 0.026346 0.882850 0.030372 -0.038141 0.467118
63070 0.015338 0.003383 0.012054 0.882851 0.030367 -0.038142 0.467116
63071 0.009064 -0.002292 0.000932 0.882851 0.030363 -0.038148 0.467116
63072 0.002220 0.016497 0.018571 0.882850 0.030362 -0.038150 0.467117
63073 -0.003321 0.011118 0.014092 0.882851 0.030363 -0.038152 0.467116
63074 0.008940 0.028152 0.008434 0.882851 0.030358 -0.038156 0.467115
63075 0.002229 0.036879 0.001884 0.882852 0.030356 -0.038156 0.467113
63076 -0.000248 0.023749 0.012426 0.882852 0.030355 -0.038163 0.467114
63077 0.023481 0.019205 -0.000683 0.882852 0.030353 -0.038163 0.467112
63078 0.028532 0.010041 0.026189 0.882852 0.030350 -0.038162 0.467114
63079 0.022505 0.020708 0.002931 0.882850 0.030352 -0.038162 0.467117
63080 0.031578 0.013854 -0.002145 0.882851 0.030346 -0.038164 0.467116
63081 0.003600 0.028577 0.006299 0.882853 0.030348 -0.038166 0.467111
63082 0.009573 0.017340 0.011902 0.882854 0.030347 -0.038169 0.467109
63083 0.009828 0.012423 0.010890 0.882852 0.030343 -0.038169 0.467113
63084 -0.000493 0.030602 -0.000526 0.882851 0.030338 -0.038176 0.467114
63085 0.037904 0.017893 0.002410 0.882853 0.030330 -0.038172 0.467112
63086 0.007892 0.010730 0.007632 0.882854 0.030330 -0.038172 0.467110
63087 0.025226 0.004197 -0.016100 0.882855 0.030329 -0.038178 0.467109
63088 0.005433 0.046310 -0.021793 0.882854 0.030326 -0.038184 0.467109
63089 0.009658 0.031140 -0.012975 0.882854 0.030320 -0.038188 0.467110
63090 0.003624 0.017256 -0.001879 0.882855 0.030318 -0.038191 0.467108
63091 0.031231 0.004067 0.009591 0.882855 0.030316 -0.038189 0.467108
63092 0.018158 0.014461 -0.012464 0.882854 0.030312 -0.038190 0.467110
63093 0.005999 0.016445 -0.025157 0.882855 0.030306 -0.038189 0.467109
63094 0.004926 0.013383 -0.010506 0.882856 0.030303 -0.038187 0.467106
63095 0.006679 0.007259 0.001901 0.882857 0.030300 -0.038188 0.467105
63096 0.019939 0.004629 0.007813 0.882858 0.030297 -0.038190 0.467103
63097 0.021735 0.024752 -0.009212 0.882861 0.030295 -0.038192 0.467097
63098 -0.000834 0.015587 0.005703 0.882862 0.030293 -0.038194 0.467095
63099 0.001524 0.013811 -0.004236 0.882864 0.030288 -0.038196 0.467092
63100 0.012705 0.015404 0.003806 0.882865 0.030292 -0.038200 0.467089
63101 0.005865 0.016601 -0.010707 0.882864 0.030290 -0.038202 0.467091
63102 0.001116 -0.001007 -0.003156 0.882866 0.030289 -0.038200 0.467088
63103 0.004402 -0.001590 0.013840 0.882867 0.030291 -0.038201 0.467085
63104 0.023467 0.007530 0.018355 0.882868 0.030290 -0.038201 0.467085
63105 0.023801 0.017101 0.012203 0.882869 0.030289 -0.038200 0.467083
63106 -0.000717 0.021889 -0.001477 0.882869 0.030291 -0.038203 0.467082
63107 -0.008195 0.005597 0.005246 0.882872 0.030287 -0.038205 0.467077
63108 0.017362 -0.006837 0.032539 0.882874 0.030285 -0.038204 0.467073
63109 0.023765 -0.009380 0.003958 0.882876 0.030283 -0.038204 0.467070
63110 0.019885 0.015491 -0.000870 0.882876 0.030280 -0.038204 0.467068
63111 0.008830 0.031649 -0.041137 0.882879 0.030283 -0.038200 0.467064
63112 0.014204 0.017425 0.009402 0.882879 0.030283 -0.038201 0.467063
63113 0.017093 0.023092 0.030649 0.882881 0.030278 -0.038205 0.467060
63114 0.013845 0.020985 0.006968 0.882883 0.030273 -0.038203 0.467057
