// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 008002103C
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter FreeAcc_E FreeAcc_N FreeAcc_U Quat_q0 Quat_q1 Quat_q2 Quat_q3
30040 -0.008113 -0.002303 -0.013161 0.992029 0.012569 -0.007043 -0.125181
30041 -0.004301 -0.006850 -0.015371 0.992030 0.012571 -0.007036 -0.125179
30042 -0.007330 -0.008113 0.011044 0.992030 0.012569 -0.007031 -0.125176
30043 -0.021975 -0.042212 0.017467 0.992030 0.012569 -0.007027 -0.125179
30044 -0.010238 -0.019632 0.008101 0.992030 0.012570 -0.007021 -0.125179
30045 -0.019050 -0.025983 0.028292 0.992030 0.012573 -0.007017 -0.125180
30046 -0.006880 -0.022069 -0.009669 0.992031 0.012571 -0.007012 -0.125173
30047 -0.013168 -0.021740 0.017730 0.992031 0.012569 -0.007010 -0.125171
30048 -0.008644 -0.024983 0.022118 0.992031 0.012569 -0.007001 -0.125171
30049 -0.022736 -0.033316 0.008658 0.992031 0.012567 -0.006997 -0.125170
30050 -0.017509 -0.026233 -0.017922 0.992031 0.012564 -0.006995 -0.125169
30051 -0.011195 -0.005795 0.000332 0.992031 0.012566 -0.006988 -0.125168
30052 -0.022558 -0.021644 -0.001251 0.992032 0.012567 -0.006987 -0.125167
30053 -0.018304 -0.009827 -0.000070 0.992032 0.012570 -0.006986 -0.125166
30054 -0.004431 -0.014174 -0.002965 0.992032 0.012566 -0.006986 -0.125165
30055 0.010342 -0.004935 0.002890 0.992032 0.012565 -0.006985 -0.125166
30056 -0.006829 -0.008248 0.015350 0.992032 0.012562 -0.006984 -0.125167
30057 -0.015863 -0.012742 0.006244 0.992032 0.012558 -0.006989 -0.125165
30058 -0.008233 -0.021870 0.001079 0.992032 0.012556 -0.006986 -0.125162
30059 0.001880 -0.007103 -0.017345 0.992032 0.012555 -0.006989 -0.125161
30060 -0.019565 -0.020177 -0.014364 0.992033 0.012555 -0.006988 -0.125157
30061 -0.001131 -0.012783 -0.003288 0.992034 0.012553 -0.006991 -0.125152
30062 -0.016047 -0.020356 -0.002434 0.992033 0.012545 -0.006989 -0.125157
30063 0.002217 -0.014093 -0.010134 0.992033 0.012549 -0.006991 -0.125155
30064 0.021296 -0.028062 0.010571 0.992034 0.012547 -0.006991 -0.125151
30065 0.002481 -0.019701 0.028741 0.992034 0.012551 -0.006993 -0.125151
30066 -0.029027 -0.026642 -0.000508 0.992034 0.012550 -0.006991 -0.125149
30067 -0.014393 -0.027466 0.012383 0.992034 0.012544 -0.006988 -0.125150
30068 -0.000968 -0.016125 0.013112 0.992034 0.012546 -0.006985 -0.125148
30069 0.001983 -0.020382 0.016069 0.992034 0.012543 -0.006986 -0.125148
30070 -0.001613 -0.028324 0.019424 0.992034 0.012544 -0.006983 -0.125147
30071 0.003178 -0.037570 0.014496 0.992034 0.012543 -0.006979 -0.125147
30072 0.003873 -0.004145 0.006482 0.992035 0.012545 -0.006980 -0.125145
30073 0.002259 -0.012446 0.017924 0.992035 0.012545 -0.006979 -0.125142
30074 0.011721 -0.028713 0.030921 0.992035 0.012545 -0.006977 -0.125142
30075 -0.014101 -0.012891 0.012529 0.992035 0.012541 -0.006976 -0.125141
30076 -0.003900 -0.011801 -0.005895 0.992035 0.012544 -0.006977 -0.125142
30077 -0.030488 -0.016441 -0.007124 0.992035 0.012542 -0.006977 -0.125140
30078 -0.018774 -0.015117 0.011756 0.992035 0.012540 -0.006976 -0.125142
30079 -0.026746 -0.021802 0.010369 0.992035 0.012543 -0.006978 -0.125141
30080 -0.004590 -0.019587 -0.023596 0.992036 0.012543 -0.006979 -0.125136
30081 -0.024923 -0.007480 -0.020013 0.992036 0.012541 -0.006981 -0.125135
30082 -0.018199 -0.000121 -0.015725 0.992036 0.012534 -0.006981 -0.125131
30083 -0.024758 -0.021299 -0.013371 0.992037 0.012535 -0.006975 -0.125129
30084 -0.019973 -0.020217 -0.017291 0.992037 0.012535 -0.006981 -0.125128
30085 0.001227 -0.005832 -0.023703 0.992037 0.012540 -0.006984 -0.125125
30086 -0.004060 -0.020990 -0.007401 0.992037 0.012538 -0.006984 -0.125124
30087 -0.008820 -0.005659 0.023786 0.992038 0.012538 -0.006984 -0.125120
30088 0.005244 -0.028298 -0.001593 0.992038 0.012537 -0.006982 -0.125120
30089 -0.011649 -0.023026 -0.006241 0.992038 0.012536 -0.006986 -0.125121
30090 -0.014450 -0.002828 0.002265 0.992038 0.012535 -0.006986 -0.125120
30091 0.012825 -0.002397 0.010730 0.992038 0.012536 -0.006991 -0.125119
30092 -0.003509 -0.035341 0.025906 0.992037 0.012534 -0.006988 -0.125124
30093 -0.010583 -0.040661 0.003361 0.992038 0.012535 -0.006986 -0.125120
30094 -0.001671 -0.025356 -0.005533 0.992037 0.012532 -0.006985 -0.125124
30095 -0.015728 -0.019358 -0.006085 0.992038 0.012533 -0.006991 -0.125122
30096 0.014903 -0.038103 0.009247 0.992038 0.012531 -0.006994 -0.125120
30097 -0.014163 -0.030256 0.008910 0.992038 0.012532 -0.006992 -0.125117
30098 0.004858 -0.021505 0.017186 0.992038 0.012530 -0.006994 -0.125116
30099 0.007605 -0.004458 0.000216 0.992038 0.012531 -0.006994 -0.125118
30100 -0.026879 -0.005149 0.026183 0.992039 0.012526 -0.006995 -0.125115
30101 -0.029299 -0.008345 0.018700 0.992039 0.012530 -0.006999 -0.125115
30102 -0.004559 -0.029255 0.009292 0.992039 0.012529 -0.007007 -0.125112
30103 -0.010807 -0.013131 -0.003419 0.992039 0.012529 -0.007005 -0.125110
30104 -0.009669 -0.008501 0.001526 0.992040 0.012529 -0.007008 -0.125107
30105 -0.010371 -0.012219 0.015311 0.992040 0.012529 -0.007015 -0.125103
30106 -0.018814 -0.025286 -0.001525 0.992041 0.012523 -0.007012 -0.125098
30107 -0.028608 -0.041990 -0.025880 0.992041 0.012524 -0.007017 -0.125095
30108 0.010369 -0.010299 -0.005923 0.992041 0.012529 -0.007021 -0.125095
30109 0.001472 -0.013439 -0.007601 0.992041 0.012531 -0.007024 -0.125092
30110 -0.018165 -0.012949 -0.001721 0.992042 0.012534 -0.007028 -0.125087
30111 -0.007210 -0.032197 -0.019559 0.992042 0.012530 -0.007029 -0.125084
30112 -0.015155 -0.011227 -0.012221 0.992042 0.012530 -0.007034 -0.125084
30113 -0.011685 -0.002407 0.003952 0.992042 0.012529 -0.007040 -0.125085
30114 0.007019 -0.004201 0.002897 0.992042 0.012529 -0.007044 -0.125083
30115 -0.016576 -0.023417 -0.009615 0.992042 0.012527 -0.007045 -0.125081
30116 -0.018233 -0.016752 -0.006389 0.992042 0.012528 -0.007046 -0.125083
30117 0.004625 -0.009828 -0.010106 0.992042 0.012526 -0.007052 -0.125081
30118 -0.002931 -0.033758 0.019549 0.992043 0.012525 -0.007052 -0.125076
30119 -0.003002 -0.001824 0.001801 0.992043 0.012523 -0.007053 -0.125075
30120 -0.002727 -0.030491 -0.005794 0.992043 0.012525 -0.007054 -0.125075
30121 0.006312 -0.023313 0.006215 0.992044 0.012526 -0.007058 -0.125070
30122 -0.003354 -0.026198 0.024610 0.992044 0.012523 -0.007058 -0.125069
30123 -0.002446 -0.017759 0.014732 0.992044 0.012527 -0.007056 -0.125070
30124 -0.009699 -0.021699 0.004450 0.992044 0.012529 -0.007054 -0.125070
30125 -0.001915 -0.007038 -0.000396 0.992044 0.012530 -0.007051 -0.125069
30126 -0.010441 -0.014362 0.005919 0.992044 0.012529 -0.007052 -0.125069
30127 -0.002215 -0.006045 0.006751 0.992044 0.012528 -0.007048 -0.125069
30128 0.009676 -0.026618 0.017093 0.992044 0.012530 -0.007044 -0.125068
30129 -0.001689 -0.018365 0.004257 0.992044 0.012532 -0.007041 -0.125065
30130 -0.013314 -0.012214 0.003366 0.992045 0.012530 -0.007042 -0.125065
30131 -0.026684 -0.012370 0.014724 0.992044 0.012531 -0.007039 -0.125065
30132 -0.025888 -0.026007 0.007242 0.992044 0.012530 -0.007042 -0.125065
30133 -0.012887 -0.031672 -0.021070 0.992045 0.012532 -0.007043 -0.125064
30134 -0.007357 -0.012009 -0.015441 0.992045 0.012534 -0.007042 -0.125063
30135 -0.009366 -0.024205 0.008239 0.992045 0.012537 -0.007040 -0.125062
30136 -0.006640 -0.038480 -0.001610 0.992045 0.012533 -0.007042 -0.125061
30137 -0.000407 -0.037310 0.003343 0.992045 0.012533 -0.007044 -0.125061
30138 -0.015266 -0.026140 -0.010224 0.992045 0.012536 -0.007043 -0.125058
30139 0.004981 0.003560 -0.000673 0.992045 0.012537 -0.007045 -0.125058
30140 0.001345 -0.014600 -0.003136 0.992046 0.012536 -0.007044 -0.125054
30141 0.003507 -0.013567 -0.002768 0.992046 0.012537 -0.007043 -0.125052
30142 -0.004488 -0.014450 0.007215 0.992046 0.012536 -0.007044 -0.125049
30143 0.012620 -0.015754 -0.003735 0.992047 0.012537 -0.007041 -0.125048
30144 -0.002149 -0.017154 -0.004164 0.992047 0.012538 -0.007039 -0.125048
30145 0.004422 -0.014128 -0.000092 0.992047 0.012541 -0.007034 -0.125047
30146 -0.023200 -0.020438 -0.005743 0.992047 0.012539 -0.007029 -0.125045
30147 -0.016098 -0.028352 -0.006595 0.992047 0.012539 -0.007026 -0.125043
30148 -0.000653 -0.023697 -0.013929 0.992047 0.012542 -0.007023 -0.125041
30149 -0.008651 -0.029271 0.006843 0.992047 0.012543 -0.007020 -0.125042
30150 -0.026167 -0.035638 0.019776 0.992048 0.012546 -0.007020 -0.125037
30151 -0.018582 -0.020109 -0.008548 0.992048 0.012546 -0.007019 -0.125038
30152 -0.008138 -0.016837 0.003633 0.992048 0.012546 -0.007017 -0.125037
30153 -0.004456 -0.013376 0.003943 0.992048 0.012547 -0.007013 -0.125035
