// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 008002103C
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter FreeAcc_E FreeAcc_N FreeAcc_U Roll Pitch Yaw
03973 0.011503 0.005619 -0.003555 39.302207 1.096883 1.245137
03974 -0.003485 0.001233 -0.014927 39.302301 1.096990 1.245662
03975 -0.002882 -0.007845 0.000042 39.301970 1.097266 1.245398
03976 -0.002947 0.005443 0.000948 39.302082 1.097219 1.245504
03977 0.010918 -0.004571 0.002186 39.302236 1.096825 1.245112
03978 0.003540 -0.013181 0.007091 39.302196 1.097089 1.244858
03979 -0.010586 0.010743 0.005339 39.302228 1.097083 1.244748
03980 -0.006369 -0.015030 0.003637 39.301796 1.096902 1.244691
03981 0.002955 -0.008297 0.007927 39.301493 1.096705 1.244650
03982 0.014741 -0.008559 -0.000904 39.301387 1.096982 1.244417
03983 0.006148 0.010537 -0.006387 39.301583 1.097194 1.244099
03984 0.016573 0.007633 -0.000993 39.301237 1.097211 1.243998
03985 0.013810 -0.005474 -0.014441 39.301073 1.097355 1.244020
03986 0.009562 -0.002514 0.003096 39.300947 1.097427 1.243825
03987 0.008333 -0.000976 -0.011932 39.300950 1.097698 1.244059
03988 0.003618 0.009194 -0.009590 39.301266 1.097655 1.243922
03989 -0.002294 -0.001918 -0.004541 39.301877 1.097372 1.244188
03990 -0.003803 0.012001 0.004245 39.301610 1.097281 1.244323
03991 0.017994 0.012116 -0.009700 39.301959 1.097159 1.244127
03992 0.010929 -0.002169 0.009425 39.302018 1.097222 1.243959
03993 0.002522 0.008489 0.010100 39.302447 1.096620 1.243900
03994 0.009241 0.014432 0.005850 39.302514 1.096834 1.243765
03995 0.023172 0.011615 0.014941 39.302629 1.096863 1.243751
03996 0.000477 0.008012 0.021140 39.302970 1.096894 1.244101
03997 0.004819 -0.001670 -0.004331 39.302914 1.096853 1.244149
03998 0.002806 -0.007874 0.007578 39.302852 1.096904 1.244085
03999 0.024580 -0.014779 -0.003023 39.302490 1.097201 1.244018
04000 0.015203 -0.007133 0.008370 39.302380 1.097571 1.243862
04001 0.006202 0.018304 0.023250 39.302977 1.097273 1.244194
04002 0.023383 0.000031 -0.002935 39.302976 1.096951 1.244443
04003 0.006280 0.007807 0.011476 39.302697 1.096740 1.244489
04004 -0.004825 -0.005632 0.014956 39.302803 1.096655 1.244112
04005 0.010917 0.006647 -0.004711 39.302969 1.096785 1.244420
04006 -0.016102 0.003204 -0.009480 39.302810 1.097055 1.244782
04007 -0.019397 -0.001098 -0.003144 39.302762 1.097308 1.245134
04008 0.003567 -0.009166 -0.005591 39.301933 1.097086 1.244976
04009 -0.004740 0.006061 -0.004753 39.301726 1.097495 1.244972
04010 -0.001684 0.007424 0.000124 39.301882 1.097837 1.244871
04011 0.000937 0.010145 0.004203 39.301494 1.097849 1.245250
04012 -0.005578 -0.002786 0.006795 39.301603 1.097566 1.245557
04013 0.006123 0.007580 0.005757 39.301852 1.097549 1.245911
04014 0.005161 0.011863 0.016410 39.301819 1.097832 1.246316
04015 -0.003877 0.003824 0.016992 39.301241 1.098568 1.246754
04016 0.004152 -0.002038 0.000957 39.301019 1.098868 1.247119
04017 0.017225 -0.003888 0.021637 39.301438 1.098555 1.246980
04018 0.005534 -0.001576 0.002470 39.301577 1.098470 1.247031
04019 -0.001028 0.011770 0.006977 39.301360 1.098947 1.247378
04020 0.003614 -0.004468 -0.011536 39.301125 1.098766 1.247662
04021 0.000673 0.009055 0.010474 39.300394 1.098950 1.247665
04022 0.011282 0.010539 0.014309 39.300579 1.099102 1.248043
04023 0.006748 0.013772 -0.000645 39.300462 1.099085 1.247475
04024 -0.003679 0.003858 -0.014625 39.300661 1.099092 1.247558
04025 -0.001633 0.001630 0.019086 39.300355 1.099175 1.247659
04026 0.007812 0.008603 0.016438 39.299970 1.099106 1.247930
04027 -0.004005 0.001262 -0.003556 39.300152 1.098961 1.248140
04028 0.010710 0.000779 -0.010478 39.299690 1.099244 1.248398
04029 -0.000750 0.006982 -0.013395 39.299666 1.098902 1.248288
04030 0.007217 0.000138 0.015894 39.299619 1.098654 1.248222
04031 0.016319 -0.002696 -0.001128 39.299787 1.098614 1.248103
04032 0.006387 0.003001 0.001046 39.299663 1.098483 1.248160
04033 0.010667 -0.010685 0.003732 39.299805 1.098451 1.248194
04034 -0.003441 -0.005193 -0.002847 39.299743 1.098287 1.248439
04035 -0.025677 -0.000235 0.004269 39.299870 1.098503 1.248432
04036 0.015670 -0.001332 -0.013184 39.299746 1.098438 1.248397
04037 0.016602 -0.013418 0.001976 39.299722 1.098414 1.248271
04038 -0.007916 0.004993 -0.003126 39.299555 1.098692 1.248096
04039 0.001743 0.005099 0.011599 39.299258 1.098724 1.247998
04040 0.008931 -0.009667 -0.008455 39.298962 1.098725 1.248133
04041 0.013309 0.007979 0.008599 39.298804 1.098853 1.247892
04042 0.006257 0.006655 0.005939 39.298665 1.098751 1.248038
04043 0.005728 -0.003721 0.002760 39.298341 1.099156 1.248718
04044 0.007789 -0.002700 -0.005711 39.298021 1.099601 1.249121
04045 0.011644 0.007297 0.003578 39.297948 1.100058 1.249254
04046 0.009171 0.006061 0.008221 39.297830 1.100121 1.249357
04047 0.003016 0.006865 0.001177 39.297973 1.100173 1.249492
04048 0.010418 -0.016638 -0.016912 39.297945 1.100506 1.249180
04049 0.004244 0.004256 -0.017580 39.297995 1.101037 1.249492
04050 -0.000144 0.003773 -0.003548 39.298204 1.101357 1.249846
04051 0.016052 0.010641 0.001946 39.298083 1.101199 1.249741
04052 0.002697 0.007605 -0.002947 39.298428 1.101512 1.249310
04053 0.002070 0.006603 -0.007346 39.298463 1.100865 1.249285
04054 0.007707 -0.003195 0.007413 39.298851 1.100931 1.249302
04055 0.014402 0.000776 -0.005067 39.298118 1.100841 1.249288
04056 -0.016413 -0.001682 -0.004955 39.297880 1.100667 1.249447
04057 -0.000418 0.002331 0.007829 39.297579 1.100521 1.249398
04058 -0.008028 -0.012334 -0.000113 39.297668 1.100654 1.249777
04059 0.011972 0.002990 0.011462 39.297679 1.100540 1.250359
04060 0.009678 -0.010367 0.005615 39.298113 1.100303 1.250151
04061 0.019375 -0.002096 0.007348 39.298194 1.100547 1.250383
04062 0.004179 0.017649 0.009290 39.298099 1.100604 1.250652
04063 0.001546 -0.005285 0.000737 39.298106 1.100391 1.251076
04064 0.020078 -0.008692 0.006866 39.298025 1.099962 1.251423
04065 -0.008078 0.006355 -0.006008 39.298002 1.100058 1.251667
04066 -0.016391 -0.002961 -0.010588 39.297712 1.100147 1.251723
04067 0.010578 -0.006408 -0.009974 39.297896 1.100711 1.252034
04068 0.017038 0.003800 -0.008514 39.297927 1.100851 1.252076
04069 -0.003422 -0.005648 -0.006639 39.297708 1.101137 1.251798
04070 0.001179 0.004314 0.011166 39.297465 1.101092 1.251939
04071 0.005844 0.005648 0.007156 39.297489 1.101098 1.252441
04072 -0.000701 -0.010310 -0.001487 39.297532 1.100810 1.252576
04073 0.003249 -0.003939 0.015979 39.297192 1.100724 1.252540
04074 0.013237 -0.007407 0.005136 39.296561 1.100626 1.252169
04075 -0.005710 0.014801 0.012803 39.296685 1.100321 1.252336
04076 0.005618 0.005156 0.009896 39.296779 1.100382 1.252533
04077 -0.006885 -0.002202 0.011968 39.296659 1.100438 1.252777
04078 0.003649 0.006593 0.003327 39.297041 1.100531 1.253380
04079 0.002698 -0.002258 -0.001791 39.297415 1.100551 1.253233
04080 0.001583 0.002362 -0.002789 39.296924 1.100450 1.253266
04081 0.011800 -0.018325 0.008823 39.296968 1.100869 1.253346
04082 0.006017 0.002030 -0.003500 39.296493 1.101028 1.253254
04083 0.000958 0.010039 -0.012709 39.296598 1.101125 1.253792
04084 -0.012887 0.001438 -0.026858 39.296466 1.101555 1.254094
04085 -0.001466 0.020251 -0.002558 39.296683 1.101760 1.253988
04086 0.006888 -0.003776 0.001029 39.296933 1.101945 1.254064
04087 0.002173 0.008112 0.003783 39.296748 1.101807 1.254209
04088 0.008502 0.013424 0.009296 39.296641 1.101915 1.254195
04089 0.001359 0.006477 -0.005303 39.297519 1.101765 1.254225
04090 -0.011990 0.002279 0.002547 39.297537 1.101926 1.254413
04091 0.000758 0.003169 0.008001 39.297686 1.101908 1.254512
04092 -0.011468 0.003883 0.000021 39.297560 1.101842 1.254782
04093 0.018410 0.005959 -0.003684 39.297730 1.101358 1.255020
04094 0.003837 -0.013376 0.000451 39.297711 1.101488 1.254695
04095 -0.004496 -0.008257 -0.011678 39.297589 1.101363 1.255177
04096 -0.002014 -0.011323 0.002216 39.297411 1.101228 1.255544
04097 -0.005629 -0.009675 0.004766 39.296879 1.100935 1.255372
04098 0.003943 0.007603 0.001825 39.296539 1.100876 1.255564
04099 -0.002810 -0.002702 -0.011123 39.296372 1.100851 1.255263
04100 -0.003351 -0.003091 0.001503 39.296041 1.101103 1.254916
04101 -0.018898 0.003505 0.006525 39.295396 1.101267 1.254281
04102 0.002429 0.010742 0.003983 39.295194 1.101526 1.254207
04103 -0.023396 0.007974 -0.007829 39.294541 1.101142 1.254012
04104 -0.013234 0.014312 -0.012751 39.294178 1.101120 1.253909
04105 0.012183 0.015403 0.002957 39.294072 1.101113 1.253784
04106 0.015602 -0.009140 0.006266 39.293824 1.101271 1.253927
04107 0.002657 0.012268 -0.003160 39.294319 1.101348 1.253905
04108 -0.018721 0.022168 0.003688 39.294236 1.101806 1.254527
04109 0.000713 0.012427 -0.007018 39.294138 1.102150 1.254659
04110 0.012602 0.004744 -0.005281 39.294262 1.102431 1.254591
04111 0.005637 0.019056 -0.007244 39.294472 1.102670 1.255335
04112 -0.001724 0.010852 -0.005374 39.294149 1.102439 1.255368
04113 0.001489 -0.009212 -0.006184 39.294410 1.102009 1.255257
04114 -0.008576 -0.015656 0.014916 39.294558 1.102579 1.255162
04115 0.007112 -0.002651 0.006554 39.294396 1.102916 1.255344
04116 0.005719 -0.008748 0.008829 39.294433 1.103217 1.255328
04117 0.014059 0.001569 0.002716 39.293726 1.103084 1.255360
04118 0.010712 -0.011653 0.003359 39.293465 1.103364 1.255584
04119 -0.003474 -0.009822 0.002028 39.293472 1.103226 1.255649
04120 -0.010959 -0.003518 0.019909 39.293463 1.102607 1.255076
04121 -0.012595 0.008013 0.002865 39.293637 1.102297 1.254882
