// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 008002103C
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter FreeAcc_E FreeAcc_N FreeAcc_U
03716 0.019279 -0.001693 -0.013137
03717 0.023360 0.012787 0.018930
03718 0.019486 0.000644 0.022736
03719 0.010689 -0.005951 0.016269
03720 0.026990 -0.019448 0.035039
03721 0.012206 -0.016185 0.034628
03722 0.013751 0.009910 0.008895
03723 0.014305 0.001274 0.005664
03724 0.013017 0.009333 0.001187
03725 0.023543 -0.019335 0.009814
03726 0.022179 -0.007062 -0.014688
03727 0.000922 -0.024179 -0.015370
03728 0.003586 -0.029619 -0.001689
03729 0.006135 0.011225 -0.002081
03730 0.000772 -0.008340 0.016617
03731 0.011148 0.007195 0.035828
03732 0.007791 0.020520 0.024166
03733 0.010844 0.015503 0.024737
03734 0.025299 -0.004111 0.033234
03735 0.023535 0.001409 0.056087
03736 0.026466 0.006812 0.051691
03737 -0.001881 -0.008709 0.021956
03738 0.028598 -0.018009 0.002842
03739 0.017940 0.012291 0.009711
03740 0.007976 -0.014091 -0.008221
03741 -0.003264 -0.021162 -0.013803
03742 0.023563 0.007504 -0.025176
03743 0.029090 -0.004080 -0.007816
03744 0.013956 0.012605 0.000812
03745 0.013937 -0.005787 0.003503
03746 0.011269 -0.009006 0.006828
03747 -0.004120 0.010300 0.023825
03748 0.003143 -0.002526 0.025090
03749 0.024578 -0.005018 0.015320
03750 0.017972 -0.002201 0.000538
03751 0.018956 -0.010660 -0.012257
03752 0.010975 0.012929 -0.002679
03753 0.006625 -0.033093 -0.002429
03754 -0.010432 -0.010107 -0.020941
03755 0.030699 0.010537 -0.005910
03756 0.015374 -0.008134 0.016025
03757 0.028705 0.008453 0.025418
03758 0.032265 -0.004366 0.040512
03759 0.035944 0.009288 0.060843
03760 0.004004 0.006496 0.079602
03761 0.032649 -0.011662 0.071723
03762 0.023216 -0.010111 0.030632
03763 0.017394 0.017092 0.002224
03764 0.016486 -0.019572 -0.004985
03765 0.017575 0.004002 -0.031416
03766 0.005610 -0.014298 -0.009809
03767 -0.010646 0.012525 -0.013837
03768 0.004647 -0.027559 -0.038913
03769 0.021892 0.012236 -0.043362
03770 0.020419 -0.013522 -0.032158
03771 0.008403 -0.007599 -0.004822
03772 -0.022237 0.007770 -0.014996
03773 0.003483 -0.007582 0.010077
03774 0.020636 -0.014968 0.009881
03775 0.011521 0.001057 0.034967
03776 -0.010774 0.010504 0.041972
03777 0.004111 -0.003482 0.039565
03778 0.006019 0.010265 0.032525
03779 0.009882 0.013925 0.020023
03780 0.033408 -0.001737 0.057767
03781 0.008857 0.000113 0.032413
03782 0.020353 0.003428 0.025754
03783 0.025829 0.003827 0.026989
03784 0.024742 -0.001482 0.053561
03785 0.014432 -0.003999 0.020550
03786 0.015580 0.014072 0.024671
03787 0.016281 0.003775 0.004340
03788 0.017416 -0.010836 0.005692
03789 -0.003684 -0.004648 -0.003098
03790 0.010081 0.003472 -0.039791
03791 0.022483 -0.019503 -0.047447
03792 0.003289 -0.013104 -0.048177
03793 -0.000505 -0.016520 -0.052306
03794 0.004902 -0.013148 -0.048925
03795 0.015001 -0.006078 -0.057475
03796 0.018105 -0.024101 -0.055539
03797 0.014707 -0.014221 -0.045717
03798 0.012656 -0.020371 -0.030402
03799 0.005515 -0.012730 -0.022301
03800 0.018933 -0.009713 -0.015829
03801 0.020846 -0.008424 -0.009233
03802 0.003848 0.004217 0.000383
03803 0.017767 -0.002274 0.017171
03804 0.037317 0.008613 0.029588
03805 0.018709 0.004037 0.030886
03806 0.027973 0.010257 0.060754
03807 -0.000203 0.002336 0.059729
03808 0.028172 0.023440 0.063497
03809 0.043159 -0.002548 0.032647
03810 0.018010 -0.009340 0.056146
03811 0.001588 -0.000744 0.074954
03812 0.031561 0.000658 0.067657
03813 0.018380 0.009756 0.026587
03814 0.032464 -0.002118 0.033489
03815 0.014174 -0.016579 0.047709
03816 0.012197 -0.011828 0.024614
03817 0.016605 -0.009637 -0.017554
03818 0.014588 -0.005189 -0.033282
03819 0.017853 0.006339 -0.020922
03820 -0.005619 -0.007814 -0.017482
03821 0.010412 -0.021313 -0.030993
03822 0.002080 -0.013891 -0.063682
03823 0.021394 -0.023119 -0.031662
03824 0.007058 -0.026799 -0.031809
03825 -0.020544 -0.020748 -0.022357
03826 0.024737 -0.012542 -0.031224
03827 0.026861 -0.017711 -0.024867
03828 0.014725 -0.018315 -0.003417
03829 0.009119 -0.016684 0.011391
