// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 008002103C
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter Acc_X Acc_Y Acc_Z FreeAcc_E FreeAcc_N FreeAcc_U
46325 4.629286 -6.767941 5.330596 0.001259 0.085798 -0.008068
46326 4.623703 -6.740578 5.332129 0.023096 0.103644 -0.028996
46327 4.618234 -6.768351 5.327668 0.007402 0.100875 -0.014754
46328 4.629130 -6.783561 5.283895 0.003532 0.061529 -0.022489
46329 4.629930 -6.788233 5.229077 -0.003243 0.021270 -0.048234
46330 4.630054 -6.783471 5.242222 0.010188 0.039738 -0.044487
46331 4.625255 -6.796086 5.243288 0.005862 0.045954 -0.037427
46332 4.634338 -6.807500 5.275763 0.019190 0.071438 -0.007851
46333 4.648901 -6.808145 5.256170 0.032178 0.054482 -0.010963
46334 4.641311 -6.800964 5.244669 0.036166 0.057980 -0.025790
46335 4.633136 -6.816594 5.212497 0.020404 0.038075 -0.035864
46336 4.641114 -6.829249 5.212114 0.024861 0.037291 -0.023439
46337 4.643850 -6.820344 5.243247 0.046213 0.070982 -0.011965
46338 4.652936 -6.813526 5.240374 0.063564 0.073642 -0.014055
46339 4.650885 -6.839870 5.233228 0.050359 0.068626 -0.000355
46340 4.678336 -6.839300 5.234013 0.077982 0.063585 0.012593
46341 4.681586 -6.852725 5.209295 0.073318 0.045203 0.010491
46342 4.699133 -6.857394 5.183593 0.084728 0.021727 0.008515
46343 4.685335 -6.850820 5.159389 0.080677 0.018228 -0.015459
46344 4.698758 -6.869199 5.156096 0.085041 0.011426 0.002102
46345 4.708263 -6.896102 5.174828 0.085562 0.022366 0.035387
46346 4.704861 -6.901357 5.177178 0.087086 0.032388 0.038647
46347 4.709144 -6.885330 5.194024 0.111233 0.056633 0.037992
