// General information: 
//  MT Manager version: 2020.0.2 
//  XDA version: 2020.0.2 build 5355 rev 106296 built on 2020-10-15
// Device information: 
//  DeviceId: 0080021020
//  ProductCode: MTi-680G-8A1G6
//  Firmware Version: 1.2.2
//  Hardware Version: 1.0.0
// Device settings: 
//  Filter Profile: General_RTK(24.1)
//  Option Flags: Orientation Smoother Enabled, Position/Velocity Smoother Enabled, Continuous Zero Rotation Update Enabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
// PacketCounter,SampleTimeFine,UTC_Nano,UTC_Year,UTC_Month,UTC_Day,UTC_Hour,UTC_Minute,UTC_Second,UTC_Valid,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw,Latitude,Longitude,Altitude,Vel_E,Vel_N,Vel_U
35290,11720814,769377415,2020,11,10,7,36,13,0,1.796955,0.275785,9.637408,0.010184,-0.013146,-0.053014,1.072301,-2.364847,130.308899,31.314225955,121.238808504,15.775801,-1.503537,1.336724,-0.002969
35291,11720914,779377415,2020,11,10,7,36,13,0,1.628713,0.273445,9.601238,0.002762,0.018645,-0.037178,1.076271,-2.363635,130.280457,31.314226074,121.238808358,15.775037,-1.511985,1.346240,-0.005051
35292,11721014,789377415,2020,11,10,7,36,13,0,1.491339,0.374185,9.821562,0.012054,-0.021407,-0.045151,1.082679,-2.361681,130.251709,31.314226193,121.238808210,15.774210,-1.517951,1.353235,-0.006305
35293,11721114,799377415,2020,11,10,7,36,13,0,1.655952,0.268946,9.512232,0.000032,-0.011910,-0.042586,1.084720,-2.376467,130.222504,31.314226313,121.238808062,15.773445,-1.525930,1.361545,-0.007869
35294,11721214,809377415,2020,11,10,7,36,13,0,1.705068,0.281105,9.782025,0.006532,-0.027454,-0.048740,1.089885,-2.382574,130.192062,31.314226434,121.238807913,15.772637,-1.532593,1.369995,-0.009920
35295,11721314,819377415,2020,11,10,7,36,13,0,1.794825,0.096173,9.692167,0.004690,0.000163,-0.042579,1.092541,-2.392548,130.161728,31.314226555,121.238807763,15.771856,-1.540350,1.381111,-0.011100
35296,11721414,829377415,2020,11,10,7,36,13,0,1.266012,0.253857,9.894700,0.018086,-0.005527,-0.050908,1.099696,-2.386282,130.129990,31.314226678,121.238807612,15.771069,-1.544959,1.388605,-0.011733
35297,11721514,839377415,2020,11,10,7,36,13,0,1.800650,0.443424,9.724390,0.008851,-0.032178,-0.045110,1.108607,-2.405302,130.095810,31.314226801,121.238807461,15.770175,-1.553275,1.396446,-0.011754
35298,11721614,849377415,2020,11,10,7,36,13,0,1.515382,0.335695,9.609677,0.012317,-0.009340,-0.048177,1.114415,-2.410687,130.065887,31.314226925,121.238807308,15.769314,-1.560366,1.404698,-0.014309
35299,11720617,749682415,2020,11,10,7,36,13,0,,,,,,,,,,,,,,,
35300,11720617,749682322,2020,11,10,7,36,13,0,,,,,,,,,,,,,,,
35301,11721714,859377322,2020,11,10,7,36,13,0,1.840696,0.441724,9.739516,0.003885,0.000610,-0.042817,1.121009,-2.414987,130.032379,31.314227049,121.238807154,15.768471,-1.569609,1.412927,-0.015161
35302,11721814,869377322,2020,11,10,7,36,13,0,1.459298,0.122500,9.858932,0.004495,0.003948,-0.041784,1.124068,-2.408645,129.997360,31.314227274,121.238806885,15.767769,-1.581755,1.428728,-0.015109
35303,11721914,879377322,2020,11,10,7,36,13,0,1.832244,0.301141,9.788699,0.016191,-0.014004,-0.047690,1.133452,-2.418514,129.958099,31.314227407,121.238806738,15.767469,-1.587555,1.439329,-0.014284
35304,11722014,889377322,2020,11,10,7,36,13,0,1.500455,0.214466,9.725387,0.017772,0.004236,-0.045967,1.142146,-2.414110,129.920349,31.314227541,121.238806591,15.767148,-1.592936,1.448902,-0.014929
35305,11722114,899377322,2020,11,10,7,36,13,0,1.867691,0.531993,9.794333,0.007311,-0.007667,-0.040299,1.152675,-2.421219,129.881592,31.314227676,121.238806443,15.766839,-1.601112,1.457818,-0.014098
35306,11722214,909377322,2020,11,10,7,36,13,0,1.411884,0.253608,9.732923,0.014708,0.025488,-0.047922,1.158551,-2.410249,129.846344,31.314227811,121.238806293,15.766544,-1.606611,1.467148,-0.014582
35307,11722314,919377322,2020,11,10,7,36,13,0,1.819988,0.390143,9.863791,0.012394,-0.026831,-0.046939,1.168971,-2.415878,129.807236,31.314227947,121.238806143,15.766199,-1.613336,1.475706,-0.012934
35308,11722414,929377322,2020,11,10,7,36,13,0,1.476186,0.214630,9.724975,0.008187,0.013988,-0.044391,1.176233,-2.415277,129.773560,31.314228083,121.238805992,15.765929,-1.619789,1.485272,-0.012970
